name,initial_size,batch_size,ping_ms,success_rate,latency_ms
sq-c-o-topic,1,1,69,100.000000,141.000000
sq-c-o-topic,1,1,69,100.000000,141.000000
sq-c-o-topic,1,1,69,100.000000,141.000000
sq-c-o-topic,1,5,69,100.000000,141.000000
sq-c-o-topic,1,5,70,100.000000,142.000000
sq-c-o-topic,1,5,69,100.000000,141.000000
sq-c-o-topic,1,10,69,100.000000,143.000000
sq-c-o-topic,1,10,69,100.000000,143.000000
sq-c-o-topic,1,10,69,100.000000,143.000000
sq-c-o-topic,1,15,69,100.000000,280.000000
sq-c-o-topic,1,15,69,100.000000,282.000000
sq-c-o-topic,1,15,70,100.000000,281.000000
sq-c-o-topic,1,20,70,100.000000,281.000000
sq-c-o-topic,1,20,70,100.000000,282.000000
sq-c-o-topic,1,20,69,100.000000,282.000000
sq-c-o-topic,1,25,69,100.000000,286.000000
sq-c-o-topic,1,25,69,100.000000,283.000000
sq-c-o-topic,1,25,69,100.000000,282.000000
sq-c-o-topic,1,30,69,100.000000,283.000000
sq-c-o-topic,1,30,69,100.000000,283.000000
sq-c-o-topic,1,30,70,100.000000,283.000000
sq-c-o-topic,1,35,70,100.000000,284.000000
sq-c-o-topic,1,35,69,100.000000,284.000000
sq-c-o-topic,1,35,69,100.000000,287.000000
sq-c-o-topic,1,40,70,100.000000,285.000000
sq-c-o-topic,1,40,69,100.000000,285.000000
sq-c-o-topic,1,40,69,100.000000,284.000000
sq-c-o-topic,1,45,69,100.000000,284.000000
sq-c-o-topic,1,45,69,100.000000,284.000000
sq-c-o-topic,1,45,69,100.000000,288.000000
sq-c-o-topic,1,50,69,100.000000,421.000000
sq-c-o-topic,1,50,69,100.000000,421.000000
sq-c-o-topic,1,50,69,100.000000,422.000000
sq-c-o-topic,1,55,69,100.000000,422.000000
sq-c-o-topic,1,55,69,100.000000,422.000000
sq-c-o-topic,1,55,70,100.000000,424.000000
sq-c-o-topic,1,60,69,100.000000,423.000000
sq-c-o-topic,1,60,69,100.000000,423.000000
sq-c-o-topic,1,60,69,100.000000,424.000000
sq-c-o-topic,1,65,69,100.000000,424.000000
sq-c-o-topic,1,65,70,100.000000,428.000000
sq-c-o-topic,1,65,69,100.000000,423.000000
sq-c-o-topic,1,70,69,100.000000,424.000000
sq-c-o-topic,1,70,70,100.000000,425.000000
sq-c-o-topic,1,70,70,100.000000,423.000000
sq-c-o-topic,1,75,69,100.000000,426.000000
sq-c-o-topic,1,75,70,100.000000,426.000000
sq-c-o-topic,1,75,69,100.000000,424.000000
sq-c-o-topic,1,80,69,100.000000,429.000000
sq-c-o-topic,1,80,70,100.000000,429.000000
sq-c-o-topic,1,80,69,100.000000,425.000000
sq-c-o-topic,1,85,69,100.000000,426.000000
sq-c-o-topic,1,85,70,100.000000,427.000000
sq-c-o-topic,1,85,69,100.000000,429.000000
sq-c-o-topic,1,90,70,100.000000,430.000000
sq-c-o-topic,1,90,70,100.000000,425.000000
sq-c-o-topic,1,90,70,100.000000,432.000000
sq-c-o-topic,1,95,69,100.000000,429.000000
sq-c-o-topic,1,95,69,100.000000,432.000000
sq-c-o-topic,1,95,69,100.000000,429.000000
sq-c-o-topic,1,100,70,100.000000,428.000000
sq-c-o-topic,1,100,70,100.000000,429.000000
sq-c-o-topic,1,100,70,100.000000,427.000000
sq-c-o-topic,1,150,70,100.000000,567.000000
sq-c-o-topic,1,150,69,100.000000,567.000000
sq-c-o-topic,1,150,70,100.000000,566.000000
sq-c-o-topic,1,200,69,100.000000,572.000000
sq-c-o-topic,1,200,69,100.000000,570.000000
sq-c-o-topic,1,200,69,100.000000,574.000000
sq-c-o-topic,1,250,69,100.000000,701.000000
sq-c-o-topic,1,250,69,100.000000,701.000000
sq-c-o-topic,1,250,69,100.000000,701.000000
sq-c-o-topic,1,300,69,100.000000,708.000000
sq-c-o-topic,1,300,70,100.000000,707.000000
sq-c-o-topic,1,300,69,100.000000,708.000000
sq-c-o-topic,1,400,69,100.000000,718.000000
sq-c-o-topic,1,400,69,100.000000,722.000000
sq-c-o-topic,1,400,69,100.000000,721.000000
sq-c-o-topic,1,450,69,100.000000,725.000000
sq-c-o-topic,1,450,69,100.000000,726.000000
sq-c-o-topic,1,450,69,100.000000,729.000000
sq-c-o-topic,1,500,69,100.000000,734.000000
sq-c-o-topic,1,500,69,100.000000,750.000000
sq-c-o-topic,1,500,70,100.000000,736.000000
sq-c-o-topic,1,600,69,100.000000,855.000000
sq-c-o-topic,1,600,69,100.000000,852.000000
sq-c-o-topic,1,600,70,100.000000,851.000000
sq-c-o-topic,1,700,69,100.000000,863.000000
sq-c-o-topic,1,700,70,100.000000,860.000000
sq-c-o-topic,1,700,70,100.000000,864.000000
sq-c-o-topic,1,800,70,100.000000,880.000000
sq-c-o-topic,1,800,70,100.000000,899.000000
sq-c-o-topic,1,800,69,100.000000,871.000000
sq-c-o-topic,1,900,69,100.000000,887.000000
sq-c-o-topic,1,900,69,100.000000,911.000000
sq-c-o-topic,1,900,69,100.000000,883.000000
sq-c-o-topic,1,1000,70,100.000000,902.000000
sq-c-o-topic,1,1000,69,100.000000,898.000000
sq-c-o-topic,1,1000,69,100.000000,908.000000
